"Date: 2023-04-01+0000"
"Version: 7.1"
"Status: 
0 Normal

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-03-21T11:45:00+0000","2022-03-21T13:15:00+0000","PT0S
","","1","2","2022-03-07T01:13:22+0000","2022-03-21T13:48:28+0000","-2199023255552","Asia/Shanghai","false","false",,,"list","678",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-04-02T12:00:00+0000","2022-04-02T13:30:00+0000","PT0S
","","1","2","2022-04-03T06:21:17+0000","2022-04-03T06:21:30+0000","-2095944040448","Asia/Shanghai","false","false",,,"list","679",""
"","运动健身","六分 - 腹部 副本 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-04-17T12:00:00+0000","2022-04-17T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:30:55+0000","2022-04-17T13:01:58+0000","-2087354105856","Asia/Shanghai","false","false",,,"list","680",""
"","运动健身","六分 - 腹部 副本 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-07-21T09:30:00+0000","2022-07-21T11:00:00+0000","PT0S
","","1","2","2022-07-17T14:44:28+0000","2022-07-21T13:37:37+0000","-2087345717248","Asia/Shanghai","false","false",,,"list","681",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-09-02T16:00:00+0000","2022-09-02T17:30:00+0000","PT0S
","","1","2","2022-09-02T20:31:06+0000","2022-09-02T20:31:24+0000","-2087343620096","Asia/Shanghai","false","false",,,"list","682",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-09-10T16:00:00+0000","2022-09-10T17:30:00+0000","PT0S
","","1","2","2022-08-05T16:04:29+0000","2022-09-10T22:42:18+0000","-2087341522944","Europe/Zurich","false","true",,,"list","683",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-07-15T09:30:00+0000","2022-07-15T11:00:00+0000","PT0S
","","1","2","2022-07-10T14:08:08+0000","2022-07-15T13:55:09+0000","-2087320551424","Asia/Shanghai","false","false",,,"list","684",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-07-09T12:00:00+0000","2022-07-09T13:30:00+0000","PT0S
","","1","2","2022-07-07T08:59:47+0000","2022-07-09T12:00:08+0000","-2087286996992","Asia/Shanghai","false","false",,,"list","685",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-06-18T12:00:00+0000","2022-06-18T13:30:00+0000","PT0S
","","1","2","2022-06-07T02:40:58+0000","2022-06-20T02:18:46+0000","-2087219888128","Asia/Shanghai","false","false",,,"list","686",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-06-11T12:00:00+0000","2022-06-11T13:30:00+0000","PT0S
","","1","2","2022-06-06T06:41:22+0000","2022-06-11T14:47:36+0000","-2087085670400","Asia/Shanghai","false","false",,,"list","687",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-06-05T12:00:00+0000","2022-06-05T13:30:00+0000","PT0S
","","1","2","2022-05-27T11:05:26+0000","2022-06-05T13:32:03+0000","-2086817234944","Asia/Shanghai","false","false",,,"list","688",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-05-22T12:00:00+0000","2022-05-22T13:30:00+0000","PT0S
","","1","2","2022-05-18T06:53:22+0000","2022-05-22T13:28:29+0000","-2086280364032","Asia/Shanghai","false","false",,,"list","689",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-05-14T12:00:00+0000","2022-05-14T13:30:00+0000","PT0S
","","1","2","2022-05-15T05:53:06+0000","2022-05-15T05:53:25+0000","-2085206622208","Asia/Shanghai","false","false",,,"list","690",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-05-01T12:00:00+0000","2022-05-01T13:30:00+0000","PT0S
","","1","2","2022-04-27T12:18:39+0000","2022-05-02T04:03:29+0000","-2083059138560","Asia/Shanghai","false","false",,,"list","691",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-04-24T12:00:00+0000","2022-04-24T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:24:02+0000","2022-04-24T12:00:02+0000","-2078764171264","Asia/Shanghai","false","false",,,"list","692",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-04-10T12:00:00+0000","2022-04-10T13:30:00+0000","PT0S
","","1","2","2022-03-30T08:29:57+0000","2022-04-10T13:25:11+0000","-2061584302080","Asia/Shanghai","false","false",,,"list","693",""
"","运动健身","六分 - 腹部 副本 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-03-16T11:45:00+0000","2022-03-16T13:15:00+0000","PT0S
","","1","2","2022-03-07T01:12:57+0000","2022-03-16T12:22:01+0000","-1924145348608","Asia/Shanghai","false","false",,,"list","694",""
"","运动健身","六分 - 腹部 副本","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-03-06T11:45:00+0000","2022-03-06T13:15:00+0000","PT0S
","","1","2","2022-02-23T03:50:31+0000","2022-03-06T15:39:21+0000","-1649267441664","Asia/Shanghai","false","false",,,"list","695",""
"","运动健身","六分 - 腹部","TEXT","","1. 收腹轮 4*40

2. 卷腹 4*1min

or

Keep 腹部训练","N","2022-02-27T08:30:00+0000","2022-02-27T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:37:59+0000","2022-02-27T14:12:58+0000","-1374389534720","Asia/Shanghai","false","false",,,"list","696",""
"","运动健身","六分 - 胸背部 - 训练房 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-13T12:00:00+0000","2022-04-13T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:30:08+0000","2022-04-13T12:00:02+0000","-1365799600128","Asia/Shanghai","false","false",,,"list","697",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-28T12:00:00+0000","2022-04-28T13:30:00+0000","PT0S
","","1","2","2022-04-27T12:17:46+0000","2022-04-28T13:04:53+0000","-1361504632832","Asia/Shanghai","false","false",,,"list","698",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-04T12:00:00+0000","2022-05-04T13:30:00+0000","PT0S
","","1","2","2022-05-01T02:16:35+0000","2022-05-05T01:51:42+0000","-1359357149184","Asia/Shanghai","false","false",,,"list","699",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-21T12:00:00+0000","2022-04-21T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:23:41+0000","2022-04-21T15:04:04+0000","-1357209665536","Asia/Shanghai","false","false",,,"list","700",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-06T12:00:00+0000","2022-04-06T13:30:00+0000","PT0S
","","1","2","2022-03-29T11:54:26+0000","2022-04-06T15:05:24+0000","-1340029796352","Asia/Shanghai","false","false",,,"list","701",""
"","运动健身","六分 - 胸背部 - 训练房 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-03-09T08:30:00+0000","2022-03-09T10:00:00+0000","PT0S
","","1","2","2022-03-07T01:13:01+0000","2022-03-09T15:22:28+0000","-1305670057984","Asia/Shanghai","false","false",,,"list","702",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-03T12:00:00+0000","2022-04-03T13:30:00+0000","PT0S
","","1","2","2022-03-30T09:15:37+0000","2022-04-03T12:16:23+0000","-1288490188800","Asia/Shanghai","false","false",,,"list","703",""
"","运动健身","六分 - 胸背部 - 训练房 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-16T12:00:00+0000","2022-04-16T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:30:48+0000","2022-04-17T01:22:39+0000","-1284195221504","Asia/Shanghai","false","false",,,"list","704",""
"","运动健身","六分 - 肩部","TEXT","","1. keep健身房力量强化-肩","N","2022-09-09T16:00:00+0000","2022-09-09T17:30:00+0000","PT0S
","","1","2","2022-07-17T14:42:15+0000","2022-09-10T22:42:16+0000","-1281779269632","Europe/Zurich","false","true",,,"list","705",""
"","运动健身","六分 - 胸背部 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-08-28T09:30:00+0000","2022-08-28T11:00:00+0000","PT0S
","","1","2","2022-08-25T14:24:26+0000","2022-08-28T14:34:33+0000","-1281779236864","Asia/Shanghai","false","false",,,"list","706",""
"","运动健身","六分 - 肩部","TEXT","","1. keep健身房力量强化-肩","N","2022-07-17T09:30:00+0000","2022-07-17T11:00:00+0000","PT0S
","","1","2","2022-07-10T14:33:04+0000","2022-07-17T14:40:39+0000","-1281779236864","Asia/Shanghai","false","false",,,"list","707",""
"","运动健身","六分 - 胸背部","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-09-06T16:00:00+0000","2022-09-06T17:30:00+0000","PT0S
","","1","2","2022-07-17T14:42:08+0000","2022-09-07T08:21:00+0000","-1281779204096","Europe/Zurich","false","true",,,"list","708",""
"","运动健身","六分 - 胸背部","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-07-16T09:30:00+0000","2022-07-16T11:00:00+0000","PT0S
","","1","2","2022-07-10T14:09:25+0000","2022-07-17T02:17:40+0000","-1281779171328","Asia/Shanghai","false","false",,,"list","709",""
"","运动健身","六分 - 胸背部 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-07-20T09:30:00+0000","2022-07-20T11:00:00+0000","PT0S
","","1","2","2022-07-17T14:44:13+0000","2022-07-21T02:10:49+0000","-1281779138560","Asia/Shanghai","false","false",,,"list","710",""
"","运动健身","俯卧撑+平板","TEXT","","","N","2022-08-06T09:30:00+0000","2022-08-06T11:00:00+0000","PT0S
","","1","2","2022-08-05T16:03:07+0000","2022-08-06T09:32:17+0000","-1281779122176","Asia/Shanghai","false","false",,,"list","711",""
"","运动健身","六分 - 胸背部","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-09-10T16:00:00+0000","2022-09-10T17:30:00+0000","PT0S
","","1","2","2022-07-17T14:41:49+0000","2022-09-10T22:41:51+0000","-1281779105792","Europe/Zurich","false","true",,,"list","712",""
"","运动健身","六分 - 胸背部","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-07-13T09:30:00+0000","2022-07-13T11:00:00+0000","PT0S
","","1","2","2022-07-10T14:08:16+0000","2022-07-13T13:26:05+0000","-1281779040256","Asia/Shanghai","false","false",,,"list","713",""
"","运动健身","六分 - 胸背部","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-07-10T12:00:00+0000","2022-07-10T13:30:00+0000","PT0S
","","1","2","2022-07-07T09:00:00+0000","2022-07-10T12:23:39+0000","-1281778778112","Asia/Shanghai","false","false",,,"list","714",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-06-19T04:45:00+0000","2022-06-19T06:15:00+0000","PT0S
","","1","2","2022-06-07T02:41:05+0000","2022-06-19T06:34:16+0000","-1281778253824","Asia/Shanghai","false","false",,,"list","715",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-06-12T12:00:00+0000","2022-06-12T13:30:00+0000","PT0S
","","1","2","2022-06-06T06:41:54+0000","2022-06-12T16:57:51+0000","-1281777205248","Asia/Shanghai","false","false",,,"list","716",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-06-07T12:00:00+0000","2022-06-07T13:30:00+0000","PT0S
","","1","2","2022-06-06T06:41:07+0000","2022-06-07T15:18:21+0000","-1281775108096","Asia/Shanghai","false","false",,,"list","717",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-06-04T12:00:00+0000","2022-06-04T13:30:00+0000","PT0S
","","1","2","2022-05-27T11:05:18+0000","2022-06-05T00:29:36+0000","-1281770913792","Asia/Shanghai","false","false",,,"list","718",""
"","运动健身","六分 - 胸背部 - 训练房 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-25T12:00:00+0000","2022-05-25T13:30:00+0000","PT0S
","","1","2","2022-05-27T11:04:46+0000","2022-05-27T11:05:07+0000","-1281762525184","Asia/Shanghai","false","false",,,"list","719",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-16T12:00:00+0000","2022-05-16T13:30:00+0000","PT0S
","","1","2","2022-05-27T11:04:41+0000","2022-05-27T11:04:44+0000","-1281745747968","Asia/Shanghai","false","false",,,"list","720",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-21T12:00:00+0000","2022-05-21T13:30:00+0000","PT0S
","","1","2","2022-05-18T06:53:52+0000","2022-05-21T14:20:21+0000","-1281712193536","Asia/Shanghai","false","false",,,"list","721",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","","","","","1","2","2022-05-17T07:29:39+0000","2022-05-17T16:08:02+0000","-1281645084672","Asia/Shanghai","true","false",,,"list","722",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-11T12:00:00+0000","2022-05-11T13:30:00+0000","PT0S
","","1","2","2022-05-11T10:23:41+0000","2022-05-07T13:24:54+0000","-1281510866944","Asia/Shanghai","false","false",,,"list","723",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-05-07T12:00:00+0000","2022-05-07T13:30:00+0000","PT0S
","","1","2","2022-05-01T02:16:54+0000","2022-05-07T13:24:54+0000","-1280973996032","Asia/Shanghai","false","false",,,"list","724",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-23T12:00:00+0000","2022-04-23T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:23:55+0000","2022-04-23T12:01:03+0000","-1279900254208","Asia/Shanghai","false","false",,,"list","725",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-04-09T12:00:00+0000","2022-04-09T13:30:00+0000","PT0S
","","1","2","2022-03-29T11:55:08+0000","2022-04-09T11:29:59+0000","-1271310319616","Asia/Shanghai","false","false",,,"list","726",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-03-13T08:30:00+0000","2022-03-13T10:00:00+0000","PT0S
","","1","2","2022-03-07T01:12:29+0000","2022-03-13T12:04:49+0000","-1236950581248","Asia/Shanghai","false","false",,,"list","727",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-02-28T08:30:00+0000","2022-02-28T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:37:05+0000","2022-02-28T11:06:59+0000","-1099511627776","Asia/Shanghai","false","false",,,"list","728",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-02-26T08:30:00+0000","2022-02-26T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:50:17+0000","2022-02-26T16:44:10+0000","-962072674304","Asia/Shanghai","false","false",,,"list","729",""
"","运动健身","六分 - 胸背部 - 训练房 副本 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-03-19T08:30:00+0000","2022-03-19T10:00:00+0000","PT0S
","","1","2","2022-03-07T01:13:18+0000","2022-03-19T14:58:44+0000","-927712935936","Asia/Shanghai","false","false",,,"list","730",""
"","运动健身","六分 - 胸背部 - 训练房 副本","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-03-12T13:15:00+0000","2022-03-12T14:45:00+0000","PT0S
","","1","2","2022-03-07T01:12:48+0000","2022-03-12T15:39:37+0000","-893353197568","Asia/Shanghai","false","false",,,"list","731",""
"","运动健身","六分 - 胸背部 - 训练房","TEXT","","1. 断头台卧推 6*8-12

2. 卧拉 6*8-12

3. 上斜哑铃划船 4*8-12","N","2022-03-05T08:30:00+0000","2022-03-05T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:29:03+0000","2022-03-05T03:51:10+0000","-824633720832","Asia/Shanghai","false","false",,,"list","732",""
"","运动健身","六分 - 肩臂部 副本 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep上肢训练","N","2022-03-15T08:30:00+0000","2022-03-15T10:00:00+0000","PT0S
","","1","2","2022-03-07T01:13:05+0000","2022-03-16T12:22:03+0000","-790273982464","Asia/Shanghai","false","false",,,"list","733",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-05-03T12:00:00+0000","2022-05-03T13:30:00+0000","PT0S
","","1","2","2022-05-01T02:16:15+0000","2022-05-03T12:49:01+0000","-787052756992","Asia/Shanghai","false","false",,,"list","734",""
"","运动健身","六分 - 肩臂部 副本 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-04-18T12:00:00+0000","2022-04-18T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:30:01+0000","2022-04-18T14:26:42+0000","-785979015168","Asia/Shanghai","false","false",,,"list","735",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-04-11T12:00:00+0000","2022-04-11T13:30:00+0000","PT0S
","","1","2","2022-04-13T06:23:10+0000","2022-04-13T06:28:04+0000","-781684047872","Asia/Shanghai","false","false",,,"list","736",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-04-04T12:00:00+0000","2022-04-04T13:30:00+0000","PT0S
","","1","2","2022-03-29T11:54:16+0000","2022-04-04T14:35:48+0000","-773094113280","Asia/Shanghai","false","false",,,"list","737",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep上肢训练","N","2022-03-07T12:00:00+0000","2022-03-07T13:30:00+0000","PT0S
","","1","2","2022-03-07T01:12:34+0000","2022-03-08T01:02:18+0000","-755914244096","Asia/Shanghai","false","false",,,"list","738",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep上肢训练","N","2022-03-02T08:30:00+0000","2022-03-02T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:36:59+0000","2022-03-02T14:20:04+0000","-687194767360","Asia/Shanghai","false","false",,,"list","739",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep上肢训练","N","2022-02-25T08:30:00+0000","2022-02-25T10:00:00+0000","PT0S
","","1","2","2022-02-23T03:50:43+0000","2022-02-26T01:07:34+0000","-618475290624","Asia/Shanghai","false","false",,,"list","740",""
"","运动健身","六分 - 肩臂部 副本 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep上肢训练","N","2022-03-18T08:30:00+0000","2022-03-18T10:00:00+0000","PT0S
","","1","2","2022-03-07T01:13:14+0000","2022-03-18T02:43:29+0000","-601295421440","Asia/Shanghai","false","false",,,"list","741",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-03-31T12:00:00+0000","2022-03-31T13:30:00+0000","PT0S
","","1","2","2022-03-30T09:15:56+0000","2022-03-31T12:14:38+0000","-597000454144","Asia/Shanghai","false","false",,,"list","742",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-04-27T12:00:00+0000","2022-04-27T13:30:00+0000","PT0S
","","1","2","2022-04-27T12:18:13+0000","2022-04-27T16:16:31+0000","-596463583232","Asia/Shanghai","false","false",,,"list","743",""
"","运动健身","六分 - 肩臂部 副本 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-05-15T12:00:00+0000","2022-05-15T13:30:00+0000","PT0S
","","1","2","2022-05-15T05:53:30+0000","2022-05-17T07:28:54+0000","-596362919936","Asia/Shanghai","false","false",,,"list","744",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-05-20T12:00:00+0000","2022-05-20T13:30:00+0000","PT0S
","","1","2","2022-05-18T06:53:45+0000","2022-05-20T15:24:33+0000","-596354531328","Asia/Shanghai","false","false",,,"list","745",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-06-19T06:15:00+0000","2022-06-19T07:45:00+0000","PT0S
","","1","2","2022-06-07T02:40:49+0000","2022-06-19T06:34:14+0000","-596354400256","Asia/Shanghai","false","false",,,"list","746",""
"","运动健身","六分 - 肩臂部 副本 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-07-21T09:30:00+0000","2022-07-21T11:00:00+0000","PT0S
","","1","2","2022-07-17T14:44:21+0000","2022-07-21T13:37:39+0000","-596354265088","Asia/Shanghai","false","false",,,"list","747",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-09-11T16:00:00+0000","2022-09-11T17:30:00+0000","PT0S
","","1","2","2022-07-17T14:41:55+0000","2022-09-11T21:54:20+0000","-596354260992","Europe/Zurich","false","true",,,"list","748",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-08-27T09:30:59+0000","2022-08-27T11:00:59+0000","PT0S
","","1","2","2022-08-25T14:24:52+0000","2022-08-27T13:11:56+0000","-596354252800","Asia/Shanghai","false","false",,,"list","749",""
"","运动健身","六分 - 肩臂部","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

Keep家庭手臂魔鬼训练","N","2022-07-14T09:30:00+0000","2022-07-14T11:00:00+0000","PT0S
","","1","2","2022-07-10T14:09:16+0000","2022-07-14T14:09:27+0000","-596354252800","Asia/Shanghai","false","false",,,"list","750",""
"","运动健身","六分 - 肩臂部 副本","TEXT","","1. 坐姿推举 4*8-12

2. 俯身侧平举 + 前平举 4*12-15

3. 俯身飞鸟 4*8-12

4. 引体向上 6*力竭

or

